"Notes"	"County"	"County Code"	"Daily Max Heat Index (C)"	"Daily Max Heat Index (C) Code"	Avg Daily Max Heat Index (C)
"Total"	"Pope County, IL"	"17151"			33.49
	"Pulaski County, IL"	"17153"	"26"	"26"	26.49
	"Pulaski County, IL"	"17153"	"27"	"27"	27.14
	"Pulaski County, IL"	"17153"	"28"	"28"	28.02
	"Pulaski County, IL"	"17153"	"29"	"29"	28.99
	"Pulaski County, IL"	"17153"	"30"	"30"	30.00
	"Pulaski County, IL"	"17153"	"31"	"31"	30.99
	"Pulaski County, IL"	"17153"	"32"	"32"	32.01
	"Pulaski County, IL"	"17153"	"33"	"33"	33.02
	"Pulaski County, IL"	"17153"	"34"	"34"	34.01
	"Pulaski County, IL"	"17153"	"35"	"35"	34.98
	"Pulaski County, IL"	"17153"	"36"	"36"	36.03
	"Pulaski County, IL"	"17153"	"37"	"37"	36.97
	"Pulaski County, IL"	"17153"	"38"	"38"	37.99
	"Pulaski County, IL"	"17153"	"39"	"39"	39.00
	"Pulaski County, IL"	"17153"	"40"	"40"	39.96
	"Pulaski County, IL"	"17153"	"41"	"41"	40.97
	"Pulaski County, IL"	"17153"	"42"	"42"	41.93
	"Pulaski County, IL"	"17153"	"43"	"43"	42.91
	"Pulaski County, IL"	"17153"	"44"	"44"	43.99
	"Pulaski County, IL"	"17153"	"45"	"45"	44.97
	"Pulaski County, IL"	"17153"	"46"	"46"	46.11
	"Pulaski County, IL"	"17153"	"47"	"47"	46.93
	"Pulaski County, IL"	"17153"	"48"	"48"	47.64
	"Pulaski County, IL"	"17153"	"49"	"49"	48.97
	"Pulaski County, IL"	"17153"	"50"	"50"	49.90
	"Pulaski County, IL"	"17153"	"N/A"	"N/A"	Missing
"Total"	"Pulaski County, IL"	"17153"			33.94
	"Putnam County, IL"	"17155"	"26"	"26"	26.42
	"Putnam County, IL"	"17155"	"27"	"27"	27.10
	"Putnam County, IL"	"17155"	"28"	"28"	28.03
	"Putnam County, IL"	"17155"	"29"	"29"	29.00
	"Putnam County, IL"	"17155"	"30"	"30"	30.01
	"Putnam County, IL"	"17155"	"31"	"31"	31.01
	"Putnam County, IL"	"17155"	"32"	"32"	32.01
	"Putnam County, IL"	"17155"	"33"	"33"	33.01
	"Putnam County, IL"	"17155"	"34"	"34"	34.00
	"Putnam County, IL"	"17155"	"35"	"35"	35.00
	"Putnam County, IL"	"17155"	"36"	"36"	35.99
	"Putnam County, IL"	"17155"	"37"	"37"	36.95
	"Putnam County, IL"	"17155"	"38"	"38"	38.01
	"Putnam County, IL"	"17155"	"39"	"39"	38.97
	"Putnam County, IL"	"17155"	"40"	"40"	40.00
	"Putnam County, IL"	"17155"	"41"	"41"	40.98
	"Putnam County, IL"	"17155"	"42"	"42"	41.94
	"Putnam County, IL"	"17155"	"43"	"43"	42.98
	"Putnam County, IL"	"17155"	"44"	"44"	44.00
	"Putnam County, IL"	"17155"	"45"	"45"	45.00
	"Putnam County, IL"	"17155"	"46"	"46"	45.86
	"Putnam County, IL"	"17155"	"47"	"47"	46.86
	"Putnam County, IL"	"17155"	"48"	"48"	47.89
	"Putnam County, IL"	"17155"	"49"	"49"	49.03
	"Putnam County, IL"	"17155"	"50"	"50"	50.04
	"Putnam County, IL"	"17155"	"57"	"57"	56.51
	"Putnam County, IL"	"17155"	"N/A"	"N/A"	Missing
"Total"	"Putnam County, IL"	"17155"			32.75
	"Randolph County, IL"	"17157"	"26"	"26"	26.35
	"Randolph County, IL"	"17157"	"27"	"27"	27.15
	"Randolph County, IL"	"17157"	"28"	"28"	28.04
	"Randolph County, IL"	"17157"	"29"	"29"	28.97
	"Randolph County, IL"	"17157"	"30"	"30"	29.99
	"Randolph County, IL"	"17157"	"31"	"31"	31.02
	"Randolph County, IL"	"17157"	"32"	"32"	31.99
	"Randolph County, IL"	"17157"	"33"	"33"	33.04
	"Randolph County, IL"	"17157"	"34"	"34"	33.96
	"Randolph County, IL"	"17157"	"35"	"35"	34.98
	"Randolph County, IL"	"17157"	"36"	"36"	36.02
	"Randolph County, IL"	"17157"	"37"	"37"	37.03
	"Randolph County, IL"	"17157"	"38"	"38"	38.02
	"Randolph County, IL"	"17157"	"39"	"39"	38.97
	"Randolph County, IL"	"17157"	"40"	"40"	39.97
	"Randolph County, IL"	"17157"	"41"	"41"	41.04
	"Randolph County, IL"	"17157"	"42"	"42"	42.00
	"Randolph County, IL"	"17157"	"43"	"43"	42.99
	"Randolph County, IL"	"17157"	"44"	"44"	44.03
	"Randolph County, IL"	"17157"	"45"	"45"	44.94
	"Randolph County, IL"	"17157"	"46"	"46"	45.92
	"Randolph County, IL"	"17157"	"47"	"47"	47.00
	"Randolph County, IL"	"17157"	"48"	"48"	47.68
	"Randolph County, IL"	"17157"	"49"	"49"	48.86
	"Randolph County, IL"	"17157"	"50"	"50"	49.58
	"Randolph County, IL"	"17157"	"N/A"	"N/A"	Missing
"Total"	"Randolph County, IL"	"17157"			33.83
	"Richland County, IL"	"17159"	"26"	"26"	26.34
	"Richland County, IL"	"17159"	"27"	"27"	27.12
	"Richland County, IL"	"17159"	"28"	"28"	28.03
	"Richland County, IL"	"17159"	"29"	"29"	29.02
	"Richland County, IL"	"17159"	"30"	"30"	29.99
	"Richland County, IL"	"17159"	"31"	"31"	30.98
	"Richland County, IL"	"17159"	"32"	"32"	32.03
	"Richland County, IL"	"17159"	"33"	"33"	33.05
	"Richland County, IL"	"17159"	"34"	"34"	33.99
	"Richland County, IL"	"17159"	"35"	"35"	34.98
	"Richland County, IL"	"17159"	"36"	"36"	35.99
	"Richland County, IL"	"17159"	"37"	"37"	37.02
	"Richland County, IL"	"17159"	"38"	"38"	38.01
	"Richland County, IL"	"17159"	"39"	"39"	38.97
	"Richland County, IL"	"17159"	"40"	"40"	40.01
	"Richland County, IL"	"17159"	"41"	"41"	40.98
	"Richland County, IL"	"17159"	"42"	"42"	41.94
	"Richland County, IL"	"17159"	"43"	"43"	42.92
	"Richland County, IL"	"17159"	"44"	"44"	43.85
	"Richland County, IL"	"17159"	"45"	"45"	44.80
	"Richland County, IL"	"17159"	"46"	"46"	45.82
	"Richland County, IL"	"17159"	"47"	"47"	47.09
	"Richland County, IL"	"17159"	"48"	"48"	47.91
	"Richland County, IL"	"17159"	"49"	"49"	48.55
	"Richland County, IL"	"17159"	"51"	"51"	50.71
	"Richland County, IL"	"17159"	"N/A"	"N/A"	Missing
"Total"	"Richland County, IL"	"17159"			33.29
	"Rock Island County, IL"	"17161"	"26"	"26"	26.41
	"Rock Island County, IL"	"17161"	"27"	"27"	27.10
	"Rock Island County, IL"	"17161"	"28"	"28"	28.04
	"Rock Island County, IL"	"17161"	"29"	"29"	29.02
	"Rock Island County, IL"	"17161"	"30"	"30"	30.00
	"Rock Island County, IL"	"17161"	"31"	"31"	30.97
	"Rock Island County, IL"	"17161"	"32"	"32"	32.00
	"Rock Island County, IL"	"17161"	"33"	"33"	32.98
	"Rock Island County, IL"	"17161"	"34"	"34"	34.01
	"Rock Island County, IL"	"17161"	"35"	"35"	35.00
	"Rock Island County, IL"	"17161"	"36"	"36"	36.00
	"Rock Island County, IL"	"17161"	"37"	"37"	36.94
	"Rock Island County, IL"	"17161"	"38"	"38"	37.97
	"Rock Island County, IL"	"17161"	"39"	"39"	39.01
	"Rock Island County, IL"	"17161"	"40"	"40"	39.99
	"Rock Island County, IL"	"17161"	"41"	"41"	41.01
	"Rock Island County, IL"	"17161"	"42"	"42"	41.98
	"Rock Island County, IL"	"17161"	"43"	"43"	43.00
	"Rock Island County, IL"	"17161"	"44"	"44"	43.97
	"Rock Island County, IL"	"17161"	"45"	"45"	44.98
	"Rock Island County, IL"	"17161"	"46"	"46"	46.11
	"Rock Island County, IL"	"17161"	"47"	"47"	46.75
	"Rock Island County, IL"	"17161"	"48"	"48"	48.02
	"Rock Island County, IL"	"17161"	"49"	"49"	48.81
	"Rock Island County, IL"	"17161"	"51"	"51"	50.99
	"Rock Island County, IL"	"17161"	"53"	"53"	52.67
	"Rock Island County, IL"	"17161"	"N/A"	"N/A"	Missing
"Total"	"Rock Island County, IL"	"17161"			32.84
	"St. Clair County, IL"	"17163"	"26"	"26"	26.35
	"St. Clair County, IL"	"17163"	"27"	"27"	27.14
	"St. Clair County, IL"	"17163"	"28"	"28"	28.03
	"St. Clair County, IL"	"17163"	"29"	"29"	29.01
	"St. Clair County, IL"	"17163"	"30"	"30"	30.00
	"St. Clair County, IL"	"17163"	"31"	"31"	30.99
	"St. Clair County, IL"	"17163"	"32"	"32"	31.99
	"St. Clair County, IL"	"17163"	"33"	"33"	32.98
	"St. Clair County, IL"	"17163"	"34"	"34"	34.00
	"St. Clair County, IL"	"17163"	"35"	"35"	35.00
	"St. Clair County, IL"	"17163"	"36"	"36"	36.01
	"St. Clair County, IL"	"17163"	"37"	"37"	37.03
	"St. Clair County, IL"	"17163"	"38"	"38"	37.99
	"St. Clair County, IL"	"17163"	"39"	"39"	38.97
	"St. Clair County, IL"	"17163"	"40"	"40"	40.01
	"St. Clair County, IL"	"17163"	"41"	"41"	41.00
	"St. Clair County, IL"	"17163"	"42"	"42"	41.98
	"St. Clair County, IL"	"17163"	"43"	"43"	42.91
	"St. Clair County, IL"	"17163"	"44"	"44"	43.93
	"St. Clair County, IL"	"17163"	"45"	"45"	45.07
	"St. Clair County, IL"	"17163"	"46"	"46"	45.98
	"St. Clair County, IL"	"17163"	"47"	"47"	47.00
	"St. Clair County, IL"	"17163"	"48"	"48"	47.95
	"St. Clair County, IL"	"17163"	"49"	"49"	49.05
	"St. Clair County, IL"	"17163"	"50"	"50"	49.98
	"St. Clair County, IL"	"17163"	"N/A"	"N/A"	Missing
"Total"	"St. Clair County, IL"	"17163"			33.78
	"Saline County, IL"	"17165"	"26"	"26"	26.38
	"Saline County, IL"	"17165"	"27"	"27"	27.15
	"Saline County, IL"	"17165"	"28"	"28"	28.04
	"Saline County, IL"	"17165"	"29"	"29"	28.98
	"Saline County, IL"	"17165"	"30"	"30"	29.98
	"Saline County, IL"	"17165"	"31"	"31"	31.03
	"Saline County, IL"	"17165"	"32"	"32"	32.00
	"Saline County, IL"	"17165"	"33"	"33"	33.05
	"Saline County, IL"	"17165"	"34"	"34"	34.01
	"Saline County, IL"	"17165"	"35"	"35"	35.03
	"Saline County, IL"	"17165"	"36"	"36"	35.96
	"Saline County, IL"	"17165"	"37"	"37"	36.98
	"Saline County, IL"	"17165"	"38"	"38"	37.98
	"Saline County, IL"	"17165"	"39"	"39"	38.96
	"Saline County, IL"	"17165"	"40"	"40"	40.01
	"Saline County, IL"	"17165"	"41"	"41"	41.03
	"Saline County, IL"	"17165"	"42"	"42"	42.03
	"Saline County, IL"	"17165"	"43"	"43"	42.97
	"Saline County, IL"	"17165"	"44"	"44"	43.95
	"Saline County, IL"	"17165"	"45"	"45"	45.08
	"Saline County, IL"	"17165"	"46"	"46"	45.98
	"Saline County, IL"	"17165"	"47"	"47"	46.71
	"Saline County, IL"	"17165"	"48"	"48"	48.22
	"Saline County, IL"	"17165"	"49"	"49"	49.12
	"Saline County, IL"	"17165"	"50"	"50"	49.67
	"Saline County, IL"	"17165"	"51"	"51"	50.53
	"Saline County, IL"	"17165"	"N/A"	"N/A"	Missing
"Total"	"Saline County, IL"	"17165"			33.65
	"Sangamon County, IL"	"17167"	"26"	"26"	26.30
	"Sangamon County, IL"	"17167"	"27"	"27"	27.10
	"Sangamon County, IL"	"17167"	"28"	"28"	27.99
	"Sangamon County, IL"	"17167"	"29"	"29"	28.98
	"Sangamon County, IL"	"17167"	"30"	"30"	30.01
	"Sangamon County, IL"	"17167"	"31"	"31"	30.99
	"Sangamon County, IL"	"17167"	"32"	"32"	31.98
	"Sangamon County, IL"	"17167"	"33"	"33"	33.02
	"Sangamon County, IL"	"17167"	"34"	"34"	34.01
	"Sangamon County, IL"	"17167"	"35"	"35"	34.97
	"Sangamon County, IL"	"17167"	"36"	"36"	35.96
	"Sangamon County, IL"	"17167"	"37"	"37"	36.99
	"Sangamon County, IL"	"17167"	"38"	"38"	37.97
	"Sangamon County, IL"	"17167"	"39"	"39"	38.94
	"Sangamon County, IL"	"17167"	"40"	"40"	39.97
	"Sangamon County, IL"	"17167"	"41"	"41"	40.97
	"Sangamon County, IL"	"17167"	"42"	"42"	41.97
	"Sangamon County, IL"	"17167"	"43"	"43"	42.95
	"Sangamon County, IL"	"17167"	"44"	"44"	43.99
	"Sangamon County, IL"	"17167"	"45"	"45"	45.12
	"Sangamon County, IL"	"17167"	"46"	"46"	45.94
	"Sangamon County, IL"	"17167"	"47"	"47"	46.73
	"Sangamon County, IL"	"17167"	"48"	"48"	48.02
	"Sangamon County, IL"	"17167"	"49"	"49"	48.95
	"Sangamon County, IL"	"17167"	"50"	"50"	50.20
	"Sangamon County, IL"	"17167"	"52"	"52"	51.99
	"Sangamon County, IL"	"17167"	"N/A"	"N/A"	Missing
"Total"	"Sangamon County, IL"	"17167"			33.13
	"Schuyler County, IL"	"17169"	"26"	"26"	26.28
	"Schuyler County, IL"	"17169"	"27"	"27"	27.11
	"Schuyler County, IL"	"17169"	"28"	"28"	28.03
	"Schuyler County, IL"	"17169"	"29"	"29"	28.97
	"Schuyler County, IL"	"17169"	"30"	"30"	30.00
	"Schuyler County, IL"	"17169"	"31"	"31"	31.03
	"Schuyler County, IL"	"17169"	"32"	"32"	31.95
	"Schuyler County, IL"	"17169"	"33"	"33"	32.99
	"Schuyler County, IL"	"17169"	"34"	"34"	34.00
	"Schuyler County, IL"	"17169"	"35"	"35"	34.98
	"Schuyler County, IL"	"17169"	"36"	"36"	36.00
	"Schuyler County, IL"	"17169"	"37"	"37"	36.99
	"Schuyler County, IL"	"17169"	"38"	"38"	37.99
	"Schuyler County, IL"	"17169"	"39"	"39"	38.99
	"Schuyler County, IL"	"17169"	"40"	"40"	39.95
	"Schuyler County, IL"	"17169"	"41"	"41"	41.02
	"Schuyler County, IL"	"17169"	"42"	"42"	41.99
	"Schuyler County, IL"	"17169"	"43"	"43"	43.00
	"Schuyler County, IL"	"17169"	"44"	"44"	43.94
	"Schuyler County, IL"	"17169"	"45"	"45"	44.97
	"Schuyler County, IL"	"17169"	"46"	"46"	45.94
	"Schuyler County, IL"	"17169"	"47"	"47"	47.05
	"Schuyler County, IL"	"17169"	"48"	"48"	47.88
	"Schuyler County, IL"	"17169"	"49"	"49"	48.70
	"Schuyler County, IL"	"17169"	"50"	"50"	50.13
	"Schuyler County, IL"	"17169"	"51"	"51"	50.94
	"Schuyler County, IL"	"17169"	"N/A"	"N/A"	Missing
"Total"	"Schuyler County, IL"	"17169"			33.39
	"Scott County, IL"	"17171"	"26"	"26"	26.28
	"Scott County, IL"	"17171"	"27"	"27"	27.11
	"Scott County, IL"	"17171"	"28"	"28"	28.03
	"Scott County, IL"	"17171"	"29"	"29"	28.98
	"Scott County, IL"	"17171"	"30"	"30"	29.99
	"Scott County, IL"	"17171"	"31"	"31"	31.01
	"Scott County, IL"	"17171"	"32"	"32"	32.01
	"Scott County, IL"	"17171"	"33"	"33"	32.97
	"Scott County, IL"	"17171"	"34"	"34"	33.98
	"Scott County, IL"	"17171"	"35"	"35"	35.03
	"Scott County, IL"	"17171"	"36"	"36"	36.02
	"Scott County, IL"	"17171"	"37"	"37"	37.02
	"Scott County, IL"	"17171"	"38"	"38"	37.98
	"Scott County, IL"	"17171"	"39"	"39"	39.01
	"Scott County, IL"	"17171"	"40"	"40"	39.97
	"Scott County, IL"	"17171"	"41"	"41"	40.99
	"Scott County, IL"	"17171"	"42"	"42"	41.98
	"Scott County, IL"	"17171"	"43"	"43"	42.98
	"Scott County, IL"	"17171"	"44"	"44"	44.07
	"Scott County, IL"	"17171"	"45"	"45"	44.96
	"Scott County, IL"	"17171"	"46"	"46"	45.91
	"Scott County, IL"	"17171"	"47"	"47"	46.98
	"Scott County, IL"	"17171"	"48"	"48"	47.94
	"Scott County, IL"	"17171"	"49"	"49"	49.01
	"Scott County, IL"	"17171"	"50"	"50"	50.22
	"Scott County, IL"	"17171"	"N/A"	"N/A"	Missing
"Total"	"Scott County, IL"	"17171"			33.56
	"Shelby County, IL"	"17173"	"26"	"26"	26.35
	"Shelby County, IL"	"17173"	"27"	"27"	27.13
	"Shelby County, IL"	"17173"	"28"	"28"	28.02
	"Shelby County, IL"	"17173"	"29"	"29"	29.02
	"Shelby County, IL"	"17173"	"30"	"30"	30.01
	"Shelby County, IL"	"17173"	"31"	"31"	30.99
	"Shelby County, IL"	"17173"	"32"	"32"	32.03
	"Shelby County, IL"	"17173"	"33"	"33"	33.00
	"Shelby County, IL"	"17173"	"34"	"34"	34.00
	"Shelby County, IL"	"17173"	"35"	"35"	34.98
	"Shelby County, IL"	"17173"	"36"	"36"	35.98
	"Shelby County, IL"	"17173"	"37"	"37"	36.99
	"Shelby County, IL"	"17173"	"38"	"38"	38.04
	"Shelby County, IL"	"17173"	"39"	"39"	38.98
	"Shelby County, IL"	"17173"	"40"	"40"	39.97
	"Shelby County, IL"	"17173"	"41"	"41"	40.95
	"Shelby County, IL"	"17173"	"42"	"42"	41.94
	"Shelby County, IL"	"17173"	"43"	"43"	43.01
	"Shelby County, IL"	"17173"	"44"	"44"	43.90
	"Shelby County, IL"	"17173"	"45"	"45"	45.00
	"Shelby County, IL"	"17173"	"46"	"46"	45.96
	"Shelby County, IL"	"17173"	"47"	"47"	47.26
	"Shelby County, IL"	"17173"	"48"	"48"	48.43
	"Shelby County, IL"	"17173"	"49"	"49"	48.84
	"Shelby County, IL"	"17173"	"52"	"52"	52.37
	"Shelby County, IL"	"17173"	"N/A"	"N/A"	Missing
"Total"	"Shelby County, IL"	"17173"			32.97
	"Stark County, IL"	"17175"	"26"	"26"	26.46
	"Stark County, IL"	"17175"	"27"	"27"	27.13
	"Stark County, IL"	"17175"	"28"	"28"	28.05
	"Stark County, IL"	"17175"	"29"	"29"	28.99
	"Stark County, IL"	"17175"	"30"	"30"	29.98
	"Stark County, IL"	"17175"	"31"	"31"	30.97
	"Stark County, IL"	"17175"	"32"	"32"	31.99
	"Stark County, IL"	"17175"	"33"	"33"	33.01
	"Stark County, IL"	"17175"	"34"	"34"	33.96
	"Stark County, IL"	"17175"	"35"	"35"	35.01
	"Stark County, IL"	"17175"	"36"	"36"	35.97
	"Stark County, IL"	"17175"	"37"	"37"	36.98
	"Stark County, IL"	"17175"	"38"	"38"	37.98
	"Stark County, IL"	"17175"	"39"	"39"	38.96
	"Stark County, IL"	"17175"	"40"	"40"	40.05
	"Stark County, IL"	"17175"	"41"	"41"	41.00
	"Stark County, IL"	"17175"	"42"	"42"	41.96
	"Stark County, IL"	"17175"	"43"	"43"	42.98
	"Stark County, IL"	"17175"	"44"	"44"	43.97
	"Stark County, IL"	"17175"	"45"	"45"	44.98
	"Stark County, IL"	"17175"	"46"	"46"	45.96
	"Stark County, IL"	"17175"	"47"	"47"	47.42
	"Stark County, IL"	"17175"	"48"	"48"	47.69
	"Stark County, IL"	"17175"	"49"	"49"	49.21
	"Stark County, IL"	"17175"	"50"	"50"	49.69
	"Stark County, IL"	"17175"	"53"	"53"	52.57
	"Stark County, IL"	"17175"	"N/A"	"N/A"	Missing
"Total"	"Stark County, IL"	"17175"			32.69
	"Stephenson County, IL"	"17177"	"26"	"26"	26.36
	"Stephenson County, IL"	"17177"	"27"	"27"	27.12
	"Stephenson County, IL"	"17177"	"28"	"28"	28.06
	"Stephenson County, IL"	"17177"	"29"	"29"	29.01
	"Stephenson County, IL"	"17177"	"30"	"30"	30.02
	"Stephenson County, IL"	"17177"	"31"	"31"	31.01
	"Stephenson County, IL"	"17177"	"32"	"32"	32.01
	"Stephenson County, IL"	"17177"	"33"	"33"	33.00
	"Stephenson County, IL"	"17177"	"34"	"34"	33.97
	"Stephenson County, IL"	"17177"	"35"	"35"	35.03
	"Stephenson County, IL"	"17177"	"36"	"36"	35.95
	"Stephenson County, IL"	"17177"	"37"	"37"	37.04
	"Stephenson County, IL"	"17177"	"38"	"38"	38.03
	"Stephenson County, IL"	"17177"	"39"	"39"	38.99
	"Stephenson County, IL"	"17177"	"40"	"40"	40.02
	"Stephenson County, IL"	"17177"	"41"	"41"	40.92
	"Stephenson County, IL"	"17177"	"42"	"42"	42.03
	"Stephenson County, IL"	"17177"	"43"	"43"	42.92
	"Stephenson County, IL"	"17177"	"44"	"44"	43.95
	"Stephenson County, IL"	"17177"	"45"	"45"	44.99
	"Stephenson County, IL"	"17177"	"46"	"46"	46.05
	"Stephenson County, IL"	"17177"	"47"	"47"	46.99
	"Stephenson County, IL"	"17177"	"48"	"48"	48.45
	"Stephenson County, IL"	"17177"	"53"	"53"	53.03
	"Stephenson County, IL"	"17177"	"N/A"	"N/A"	Missing
"Total"	"Stephenson County, IL"	"17177"			32.27
	"Tazewell County, IL"	"17179"	"26"	"26"	26.36
	"Tazewell County, IL"	"17179"	"27"	"27"	27.12
	"Tazewell County, IL"	"17179"	"28"	"28"	28.03
	"Tazewell County, IL"	"17179"	"29"	"29"	29.01
	"Tazewell County, IL"	"17179"	"30"	"30"	30.01
	"Tazewell County, IL"	"17179"	"31"	"31"	30.98
	"Tazewell County, IL"	"17179"	"32"	"32"	31.98
	"Tazewell County, IL"	"17179"	"33"	"33"	33.01
	"Tazewell County, IL"	"17179"	"34"	"34"	34.00
	"Tazewell County, IL"	"17179"	"35"	"35"	35.02
	"Tazewell County, IL"	"17179"	"36"	"36"	35.94
	"Tazewell County, IL"	"17179"	"37"	"37"	36.94
	"Tazewell County, IL"	"17179"	"38"	"38"	37.98
	"Tazewell County, IL"	"17179"	"39"	"39"	38.95
	"Tazewell County, IL"	"17179"	"40"	"40"	39.95
	"Tazewell County, IL"	"17179"	"41"	"41"	41.00
	"Tazewell County, IL"	"17179"	"42"	"42"	41.95
	"Tazewell County, IL"	"17179"	"43"	"43"	42.96
	"Tazewell County, IL"	"17179"	"44"	"44"	44.02
	"Tazewell County, IL"	"17179"	"45"	"45"	45.04
	"Tazewell County, IL"	"17179"	"46"	"46"	46.05
	"Tazewell County, IL"	"17179"	"47"	"47"	46.91
	"Tazewell County, IL"	"17179"	"48"	"48"	48.09
	"Tazewell County, IL"	"17179"	"49"	"49"	48.71
	"Tazewell County, IL"	"17179"	"50"	"50"	50.13
	"Tazewell County, IL"	"17179"	"53"	"53"	52.90
	"Tazewell County, IL"	"17179"	"N/A"	"N/A"	Missing
"Total"	"Tazewell County, IL"	"17179"			32.91
	"Union County, IL"	"17181"	"26"	"26"	26.34
	"Union County, IL"	"17181"	"27"	"27"	27.15
	"Union County, IL"	"17181"	"28"	"28"	28.05
	"Union County, IL"	"17181"	"29"	"29"	29.00
	"Union County, IL"	"17181"	"30"	"30"	29.99
	"Union County, IL"	"17181"	"31"	"31"	30.99
	"Union County, IL"	"17181"	"32"	"32"	31.98
	"Union County, IL"	"17181"	"33"	"33"	33.01
	"Union County, IL"	"17181"	"34"	"34"	33.96
	"Union County, IL"	"17181"	"35"	"35"	35.00
	"Union County, IL"	"17181"	"36"	"36"	35.96
	"Union County, IL"	"17181"	"37"	"37"	36.98
	"Union County, IL"	"17181"	"38"	"38"	37.99
	"Union County, IL"	"17181"	"39"	"39"	38.95
	"Union County, IL"	"17181"	"40"	"40"	39.97
	"Union County, IL"	"17181"	"41"	"41"	40.99
	"Union County, IL"	"17181"	"42"	"42"	41.95
	"Union County, IL"	"17181"	"43"	"43"	43.00
	"Union County, IL"	"17181"	"44"	"44"	43.98
	"Union County, IL"	"17181"	"45"	"45"	45.02
	"Union County, IL"	"17181"	"46"	"46"	45.98
	"Union County, IL"	"17181"	"47"	"47"	47.04
	"Union County, IL"	"17181"	"48"	"48"	48.35
	"Union County, IL"	"17181"	"49"	"49"	48.84
	"Union County, IL"	"17181"	"N/A"	"N/A"	Missing
"Total"	"Union County, IL"	"17181"			33.64
	"Vermilion County, IL"	"17183"	"26"	"26"	26.35
	"Vermilion County, IL"	"17183"	"27"	"27"	27.13
	"Vermilion County, IL"	"17183"	"28"	"28"	28.01
	"Vermilion County, IL"	"17183"	"29"	"29"	29.00
	"Vermilion County, IL"	"17183"	"30"	"30"	30.00
	"Vermilion County, IL"	"17183"	"31"	"31"	31.03
	"Vermilion County, IL"	"17183"	"32"	"32"	32.02
	"Vermilion County, IL"	"17183"	"33"	"33"	32.97
	"Vermilion County, IL"	"17183"	"34"	"34"	33.99
	"Vermilion County, IL"	"17183"	"35"	"35"	34.93
	"Vermilion County, IL"	"17183"	"36"	"36"	36.03
	"Vermilion County, IL"	"17183"	"37"	"37"	36.96
	"Vermilion County, IL"	"17183"	"38"	"38"	37.96
	"Vermilion County, IL"	"17183"	"39"	"39"	38.98
	"Vermilion County, IL"	"17183"	"40"	"40"	39.92
	"Vermilion County, IL"	"17183"	"41"	"41"	41.02
	"Vermilion County, IL"	"17183"	"42"	"42"	41.96
	"Vermilion County, IL"	"17183"	"43"	"43"	42.98
	"Vermilion County, IL"	"17183"	"44"	"44"	43.91
	"Vermilion County, IL"	"17183"	"45"	"45"	44.90
	"Vermilion County, IL"	"17183"	"46"	"46"	45.80
	"Vermilion County, IL"	"17183"	"47"	"47"	46.79
	"Vermilion County, IL"	"17183"	"48"	"48"	48.05
	"Vermilion County, IL"	"17183"	"49"	"49"	48.73
	"Vermilion County, IL"	"17183"	"50"	"50"	49.52
	"Vermilion County, IL"	"17183"	"N/A"	"N/A"	Missing
"Total"	"Vermilion County, IL"	"17183"			32.58
	"Wabash County, IL"	"17185"	"26"	"26"	26.33
	"Wabash County, IL"	"17185"	"27"	"27"	27.15
	"Wabash County, IL"	"17185"	"28"	"28"	28.03
	"Wabash County, IL"	"17185"	"29"	"29"	29.02
	"Wabash County, IL"	"17185"	"30"	"30"	30.00
	"Wabash County, IL"	"17185"	"31"	"31"	31.02
	"Wabash County, IL"	"17185"	"32"	"32"	31.97
	"Wabash County, IL"	"17185"	"33"	"33"	32.98
	"Wabash County, IL"	"17185"	"34"	"34"	33.98
	"Wabash County, IL"	"17185"	"35"	"35"	34.98
	"Wabash County, IL"	"17185"	"36"	"36"	36.02
	"Wabash County, IL"	"17185"	"37"	"37"	37.04
	"Wabash County, IL"	"17185"	"38"	"38"	37.97
	"Wabash County, IL"	"17185"	"39"	"39"	38.99
	"Wabash County, IL"	"17185"	"40"	"40"	39.97
	"Wabash County, IL"	"17185"	"41"	"41"	40.95
	"Wabash County, IL"	"17185"	"42"	"42"	41.96
	"Wabash County, IL"	"17185"	"43"	"43"	42.98
	"Wabash County, IL"	"17185"	"44"	"44"	43.95
	"Wabash County, IL"	"17185"	"45"	"45"	45.00
	"Wabash County, IL"	"17185"	"46"	"46"	46.07
	"Wabash County, IL"	"17185"	"47"	"47"	47.11
	"Wabash County, IL"	"17185"	"48"	"48"	47.62
	"Wabash County, IL"	"17185"	"49"	"49"	48.97
	"Wabash County, IL"	"17185"	"51"	"51"	50.54
	"Wabash County, IL"	"17185"	"N/A"	"N/A"	Missing
"Total"	"Wabash County, IL"	"17185"			33.39
	"Warren County, IL"	"17187"	"26"	"26"	26.30
	"Warren County, IL"	"17187"	"27"	"27"	27.16
	"Warren County, IL"	"17187"	"28"	"28"	28.03
	"Warren County, IL"	"17187"	"29"	"29"	29.03
	"Warren County, IL"	"17187"	"30"	"30"	30.00
	"Warren County, IL"	"17187"	"31"	"31"	31.02
	"Warren County, IL"	"17187"	"32"	"32"	31.97
	"Warren County, IL"	"17187"	"33"	"33"	33.00
	"Warren County, IL"	"17187"	"34"	"34"	33.96
	"Warren County, IL"	"17187"	"35"	"35"	35.00
	"Warren County, IL"	"17187"	"36"	"36"	35.99
	"Warren County, IL"	"17187"	"37"	"37"	37.01
	"Warren County, IL"	"17187"	"38"	"38"	37.96
	"Warren County, IL"	"17187"	"39"	"39"	39.01
